Timestamp,EventType,ParticipantID,ParticipantAge,ParticipantGender,BlockNumber,TrialNumber,EffortLevel,RequiredPresses,DecisionType,DecisionTime,OutcomeType,RewardCollected,MovementDuration,TotalPresses,TotalScore,PracticeScore,AdditionalInfo,StartX,StartY,EndX,EndY,StepDuration,TirednessRating,ParticipantFeedback,PenaltyType,PenaltyDuration
2025-03-23 00:16:42.051,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,43,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:42.052,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:16:47.465,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:47.735,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:50.155,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,44,2,4,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:50.193,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,44,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:50.194,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:16:50.764,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:55.470,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:55.679,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:58.179,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,45,1,2,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:58.180,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,45,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:58.181,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:01.224,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:03.529,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:03.783,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:06.270,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,46,3,5,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:06.309,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,46,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:06.310,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:11.603,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:11.859,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:11.935,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:14.278,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,47,2,4,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:14.316,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,47,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:14.317,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:19.595,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:19.847,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:22.353,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,48,3,5,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:22.391,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,48,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:22.392,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:22.805,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:27.890,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:28.194,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:30.697,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,49,2,4,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:30.771,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,49,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:30.773,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:35.071,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:37.754,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:37.976,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:40.497,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,50,3,5,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:40.533,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,50,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:40.535,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:45.623,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:45.900,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:46.119,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:50.213,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,51,3,5,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:50.245,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,51,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:50.246,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:17:55.556,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:55.800,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:57.950,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:58.318,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,52,2,4,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:58.319,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,52,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:17:58.321,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:18:05.142,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:18:05.486,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
